index,concepts
0,2862.0
1,23.0
2,3465.0
3,24.3
4,2422.0
5,230.0
6,1627.0
7,103.0
8,2872.0
9,21.0
10,3468.0
11,6.5
12,1152.0
13,29.0
14,2426.0
15,199.0
16,2305.0
17,28.8
18,2466.0
19,7173.0
20,1151.0
21,6.6
22,202.0
23,2685.0
24,6.1
25,2199.0
26,6.4
27,2052.0
28,1.0
29,3360.0
30,3.9
31,2288.0
32,97.0
33,2274.0
34,4.5
35,1094.0
36,123.0
37,2686.0
38,0.0
39,26.0
40,1458.0
41,5.5
42,2168.0
43,27.0
44,3471.0
45,0.32
46,1703.0
47,5.3
48,2300.0
49,43.0
50,1424.0
51,7.9
52,6.9
53,1643.0
54,2651.0
55,0.58
56,3204.0
57,3.0
58,2273.0
59,1547.0
60,7.3
61,1861.0
62,1427.0
63,16.0
64,1633.0
65,1092.0
66,24.0
67,2704.0
68,6.3
69,1399.0
70,0.08
71,1564.0
72,6.2
73,2853.0
74,1455.0
75,17.0
76,3185.0
77,1338.0
78,0.3
79,1339.0
80,2625.0
81,0.4
82,2671.0
83,25.3
84,2864.0
85,109.0
86,2294.0
87,427.0
88,28.0
89,2271.0
90,2780.0
91,7.5
92,99.0
93,1544.0
94,3361.0
95,1462.0
96,7.1
97,2272.0
98,146.0
99,2295.0
100,1342.0
101,1870.0
102,4.08
103,1632.0
104,93.0
105,2293.0
106,1161.0
107,1154.0
108,28.2
109,45.0
110,1384.0
111,1340.0
112,29.08
113,2670.0
114,5.6
115,2873.0
116,30.0
117,1443.0
118,5.4
119,2709.0
120,1548.0
121,66.0
122,42.0
123,0.34
124,0.52
125,2688.0
126,126.0
127,1925.0
128,1450.0
129,2424.0
130,263.0
131,2703.0
132,2072.0
133,6.8
134,2276.0
135,3353.0
136,1717.0
137,1.1
138,2701.0
139,2.04
140,2879.0
141,8.3
142,3191.0
143,40.0
144,1699.0
145,1698.0
146,5.7
147,2291.0
148,30.1
149,2672.0
150,73.0
151,1570.0
152,2687.0
153,22.0
154,3374.0
155,49.0
156,2307.0
157,6.7
158,1701.0
159,2137.0947647448643
160,1568.0
161,7.0
162,3025.0
163,2444.0
164,31.0
165,3183.0
166,0.59
167,1702.0
168,0.63
169,2352.0
170,3.34
171,1.35
172,2337.0
173,0.8
174,2861.0
175,0.819
176,2287.0
177,1461.0
178,1571.0
179,3381.0
180,25.2
181,1624.0
182,4.7
183,1162.0
184,1700.0
185,1444.0
186,0.505
187,1442.0
188,2653.0
189,220.0
190,2947.0
191,0.2
192,1626.0
193,2306.0
194,0.09
195,8.7
196,1884.0
197,1476.0
198,7.8
199,3371.0
200,2198.0
201,67.0
202,1150.0
203,448.0
204,2714.0
205,3.93
206,2270.0
207,75.0
208,344.0
209,2427.0
210,1156.0
211,0.7
212,3358.0
213,62.0
214,2869.0
215,2053.0
216,153.0
217,2707.0
218,23.1
219,1475.0
220,0.17
221,1894.0
222,2333.0
223,80.0
224,2.1
225,2689.0
226,0.55
227,1.01
228,8.6
229,7.6
230,0.51
231,1155.0
232,4.1
233,0.155
234,2423.0
235,0.45
236,1631.0
237,0.1
238,1404.0
239,29.1
240,2275.0
241,620.0
242,1705.0
243,854.0
244,0.5
245,2297.0
246,27.3
247,1980.0
248,3165.0
249,1628.0
250,1295.0
251,1434.0
252,1860.0
253,4.9
254,1887.0
255,25.0
256,1885.0
257,2285.0
258,2302.0
259,1435.0
260,0.215
261,3383.0
262,24.9
263,0.61
264,2051.0
265,195.0
266,198.0
267,2712.0
268,1573.0
269,265.0
270,18.0
271,2332.0
272,3029.0
273,2713.0
274,178.0
275,20.5
276,5.2
277,2082.0
278,1403.0
279,2462.0
280,7.4
281,83.0
282,1393.0
283,2.13
284,20.0
285,2.89
286,1726.0
287,2338.0
288,2445.0
289,108.7
290,1926.0
291,185.0
292,21.25
293,2.2
294,74.0
295,2425.0
296,132.0
297,1438.0
298,3187.0
299,8092.0
300,8.1
301,3356.0
302,144.0
303,2326.0
304,3189.0
305,0.06
306,1207.0
307,2854.0
308,3460.0
309,2905.0
310,1565.0
311,70.0
312,2331.0
313,0.46
314,5.0
315,1246.0
316,2624.0
317,22.3
318,5350.0
319,2334.0
320,1448.0
321,2860.0
322,3473.0
323,0.53
324,0.11
325,0.04
326,2443.0
327,1886.0
328,1025.0
329,3182.0
330,1704.0
331,1546.0
332,27.4
333,2460.0
334,175.0
335,1159.0
336,1149.0
337,14426.0
338,2702.0
339,0.28
340,136.0
341,127.0
342,2856.0
343,9.3
344,174.0
345,0.15
346,0.43
347,3367.0
348,105.0
349,1892.0
350,0.24
351,4.6
352,2164.0
353,0.83
354,27.1
355,1208.0
356,20950.0
357,2299.0
358,1315.0
359,1685.0
360,0.02
361,1330.0
362,2654.0
363,3.7
364,1642.0
365,1871.0
366,403.0
367,2859.0
368,2463.0
369,262.0
370,0.6
371,3362.0
372,394.0
373,2874.0
374,9.8
375,2465.0
376,3.67
377,3459.0
378,19.0
379,162.0
380,1473.0
381,4.2
382,2335.0
383,2948.0
384,0.68
385,2303.0
386,120.0
387,1400.0
388,2866.0
389,32.0
390,3027.0
391,7.2
392,2047.0
393,207.0
394,71.0
395,1862.0
396,8782.0
397,0.9
398,3384.0
