index,concepts
0,1642.0
1,0.0
2,1572.0
3,0.168
4,1701.0
5,23.0
6,1150.0
7,0.2
8,1884.0
9,1261.0
10,1699.0
11,1685.0
12,6.8
13,1894.0
14,30.5
15,1700.0
16,4.6
17,2443.0
18,0.28
19,1159.0
20,7.3
21,1887.0
22,6.7
23,2625.0
24,303.0
25,1338.0
26,28.0
27,2651.0
28,7.1
29,1149.0
30,1161.0
31,1861.0
32,2624.0
33,1026.0
34,0.52
35,1023.0
36,5.5
37,2689.0
38,6.6
39,1156.0
40,2052.0
41,198.0
42,1443.0
43,47.0
44,3190.0
45,40.0
46,2287.0
47,1392.0
48,1160.0
49,2051.0
50,130.0
51,1442.0
52,6.3
53,1384.0
54,7.0
55,1455.0
56,8.1
57,1628.0
58,2304.0
59,19885.0
60,1404.0
61,1870.0
62,407.0
63,1152.0
64,0.26
65,1246.0
66,1633.0
67,25.2
68,2653.0
69,1475.0
70,209.0
71,1341.0
72,1563.0
73,25.3
74,3374.0
75,65.0
76,729.0
77,1719.0
78,5.0
79,3471.0
80,25.1
81,2703.0
82,27.3
83,1024.0
84,1885.0
85,0.62
86,2780.0
87,7.7
88,26.75
89,2701.0
90,892.0
91,55.0
92,2687.0
93,2164.0
94,215.0
95,3466.0
96,1.0
97,2162.0
98,26.0
99,1702.0
100,0.975
101,1393.0
102,2291.0
103,90.0
104,2.05
105,2290.0
106,127.0
107,2709.0
108,1462.0
109,131.0
110,2460.0
111,39503.0
112,1631.0
113,28.1
114,0.71
115,1547.0
116,54.0
117,2352.0
118,6.2
119,2702.0
120,1.6
121,3383.0
122,1093.0
123,99.0
124,3361.0
125,19.7
126,22.7
127,1329.0
128,23.5
129,2273.0
130,1548.0
131,0.06
132,1698.0
133,745.0
134,3468.0
135,2863.0
136,129.0
137,2332.0
138,2272.0
139,692.0
140,1457.0
141,6.1
142,1573.0
143,0.6
144,2053.0
145,25.0
146,3183.0
147,4.9
148,1444.0
149,3029.0
150,170.0
151,1627.0
152,1456.0
153,1461.0
154,27.0
155,480.0
156,3370.0
157,2.5
158,1570.0
159,0.27
160,20.0
161,0.31
162,2948.0
163,0.35
164,22.33
165,1925.0
166,1340.0
167,6.0
168,2876.0
169,2879.0
170,5.6
171,2422.0
172,28.67
173,1148.0
174,3380.0
175,2.56
176,2880.0
177,0.18
178,1434.0
179,1568.0
180,26.6
181,5.48
182,2672.0
183,73.0
184,1543.0
185,302.0
186,2331.0
187,28.6
188,2949.0
189,796.0
190,0.88
191,2271.0
192,0.04
193,2333.0
194,86.0
195,1892.0
196,196.0
197,2426.0
198,930.0
199,8.5
200,5.4
201,0.46
202,1448.0
203,569.0
204,7.9
205,2685.0
206,27.1
207,7.4
208,1339.0
209,109.0
210,1.66
211,1342.0
212,0.404
213,1705.0
214,1002.0
215,3026.0
216,24.0
217,1565.0
218,0.55
219,233.0
220,22.0
221,4.2
222,2864.0
223,29.0
224,2461.0
225,30.0
226,43.0
